"mse"|"var"|"r2"
0.371484653227698|0.770900327075864|0.518115844318302
0.372955162656202|0.781837840979536|0.522976321804865
0.367922645207563|0.78491071312705|0.531255416629778
0.375762552718589|0.782209983901367|0.519614220666901
0.378481002791739|0.784537872274346|0.517574592422751
0.375662834525704|0.78606742962584|0.522098460809507
0.375501477938888|0.779774947724996|0.518448907554136
0.379631200226395|0.774533953762386|0.509858543473409
0.364632483088339|0.765358778668411|0.523579668449436
0.378683091490946|0.786886410633189|0.518757616888785
0.371959730720044|0.779816336482807|0.523016236877406
0.366989693507838|0.78181062426114|0.530590040452998
0.367983841742435|0.779364957729479|0.527841432832084
0.38400376006828|0.783043328936278|0.50960087918771
0.372701657425634|0.790803400659285|0.528705039564933
0.377918534897736|0.762413539258881|0.504312928040209
0.368971731229625|0.768773433687529|0.520051402583202
0.377032408356979|0.775237879285816|0.513655848828855
0.372464892740319|0.793784406643472|0.53077323058626
0.366996768318648|0.764465468836273|0.519930221469234
