"var"|"mse"|"r2"
0.770900327075864|0.413786465256336|0.463242586981526
0.781837840979536|0.440778872478222|0.436227246399348
0.78491071312705|0.414208151812576|0.472286280610965
0.782209983901367|0.425937902896376|0.455468593264485
0.784537872274346|0.42840167038991|0.453943926061862
0.78606742962584|0.424921635463341|0.459433606522026
0.779774947724996|0.420297126893953|0.461002013311436
0.774533953762386|0.429529790605522|0.445434524181886
0.765358778668411|0.413835695783283|0.459291893792237
0.786886410633189|0.444552039817436|0.435049285627242
0.779816336482807|0.423364326196235|0.457097387692942
0.78181062426114|0.415765880453534|0.468201291269918
0.779364957729479|0.413396214284802|0.469573002757081
0.783043328936278|0.431149356331022|0.449392721451678
0.790803400659285|0.418557871249514|0.470718169774477
0.762413539258881|0.426733390929871|0.440286184654216
0.768773433687529|0.434469506911424|0.43485364104294
0.775237879285816|0.430675669106559|0.444459977235225
0.793784406643472|0.420953903386842|0.469687361122586
0.764465468836273|0.417611688363566|0.453720664454228
